customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,received_at
3724-BSCVH,Male,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,27.6075,242.4,No,2026-09-15T13:18:10.298532
7605-BDWDC,Female,0,No,No,19,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),67.2975,1520.1,No,2026-09-15T13:18:10.298532
7137-RYLPP,Male,1,Yes,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,115.69500000000001,3171.15,Yes,2026-09-15T13:18:10.298532
3207-OYBWH,Male,1,Yes,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),128.5875,5427.05,Yes,2026-09-15T13:18:10.298532
4707-YNOQA,Female,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),34.56,917.15,No,2026-09-15T13:18:10.298532
6956-SMUCM,Female,0,No,No,2,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),133.65,287.4,Yes,2026-09-15T13:18:10.298532
8714-CTZJW,Female,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),111.8475,319.6,No,2026-09-15T13:18:10.298532
3662-FXJFO,Female,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,27.675,1035.7,No,2026-09-15T13:18:10.298532
7623-HKYRK,Male,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.595000000000002,111.65,No,2026-09-15T13:18:10.298532
1353-GHZOS,Male,0,Yes,No,13,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),80.66250000000001,1374.35,No,2026-09-15T13:18:10.298532
3323-CPBWR,Male,0,No,No,14,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),130.81500000000003,2085.45,No,2026-09-15T13:18:10.298532
6152-ONASV,Female,0,Yes,No,41,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),78.6375,3975.7,No,2026-09-15T13:18:10.298532
9251-AWQGT,Female,0,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,27.0,935.9,No,2026-09-15T13:18:10.298532
4803-LBYPN,Male,0,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,28.080000000000002,635.9,No,2026-09-15T13:18:10.298532
8879-ZKJOF,Female,0,No,No,25,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),107.7975,3320.75,No,2026-09-15T13:18:10.298532
7354-OIJLX,Male,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,102.3975,724.65,No,2026-09-15T13:18:10.298532
9129-UXERG,Female,1,No,No,11,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),139.86,1806.35,No,2026-09-15T13:18:10.298532
5302-BDJNT,Male,0,No,No,21,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,128.925,3418.2,No,2026-09-15T13:18:10.298532
7148-XZPHA,Male,0,Yes,Yes,33,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,107.19000000000001,4238.45,No,2026-09-15T13:18:10.298532
2651-ZCBXV,Male,0,No,No,32,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),145.8,5760.65,No,2026-09-15T13:18:10.298532
1304-NECVQ,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,106.0425,149.55,Yes,2026-09-15T13:18:10.298532
3374-TTZTK,Male,0,Yes,No,31,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,143.505,5487,No,2026-09-15T13:18:10.298532
0229-LFJAF,Male,0,No,No,43,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),94.02750000000002,4908.25,No,2026-09-15T13:18:10.298532
1304-BCCFO,Male,0,Yes,No,5,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,94.5675,564.4,No,2026-09-15T13:18:10.298532
0455-XFASS,Female,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,93.8925,200.2,No,2026-09-15T13:18:10.298532
0221-WMXNQ,Male,1,No,No,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,101.7225,273.4,No,2026-09-15T13:18:10.298532
2882-WDTBA,Male,0,Yes,Yes,41,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),102.2625,5388.15,No,2026-09-15T13:18:10.298532
8069-RHUXK,Female,0,Yes,Yes,40,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Credit card (automatic),48.19500000000001,2545.7,No,2026-09-15T13:18:10.298532
4806-KEXQR,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,107.86500000000001,324.3,Yes,2026-09-15T13:18:10.298532
2817-NTQDO,Male,0,No,No,8,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),61.4925,597,Yes,2026-09-15T13:18:10.298532
3230-IUALN,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,109.35000000000001,3533.6,No,2026-09-15T13:18:10.298532
6500-JVEGC,Male,0,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),136.8225,7110.75,No,2026-09-15T13:18:10.298532
7103-ZGVNT,Female,0,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),99.495,4885.85,No,2026-09-15T13:18:10.298532
1837-YQUCE,Female,0,No,No,42,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),78.77250000000001,4214.25,No,2026-09-15T13:18:10.298532
4800-VHZKI,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.865,19.9,Yes,2026-09-15T13:18:10.298532
3887-PBQAO,Female,0,Yes,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),34.965,1216.6,No,2026-09-15T13:18:10.298532
5177-RVZNU,Female,0,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),27.405,755.4,No,2026-09-15T13:18:10.298532
1729-VLAZJ,Female,0,No,Yes,6,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,54.337500000000006,411.45,No,2026-09-15T13:18:10.298532
4273-MBHYA,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,120.6225,89.35,No,2026-09-15T13:18:10.298532
8690-UPCZI,Male,0,Yes,Yes,17,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),93.2175,1958.45,No,2026-09-15T13:18:10.298532
6374-NTQLP,Male,1,Yes,Yes,43,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),140.535,7447.7,No,2026-09-15T13:18:10.298532
1618-CFHME,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,102.46500000000002,143.35,Yes,2026-09-15T13:18:10.298532
4104-PVRPS,Male,0,Yes,No,14,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,72.36000000000001,1315.35,No,2026-09-15T13:18:10.298532
4210-QFJMF,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,106.85250000000002,317.25,Yes,2026-09-15T13:18:10.298532
5787-KXGIY,Male,0,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),26.055000000000003,1304.8,No,2026-09-15T13:18:10.298532
3088-LHEFH,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),106.65,929.3,No,2026-09-15T13:18:10.298532
8896-RAZCR,Female,0,No,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.865,868.1,No,2026-09-15T13:18:10.298532
7268-WNTCP,Male,0,Yes,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.6075,1297.35,No,2026-09-15T13:18:10.298532
5854-KSRBJ,Male,0,Yes,Yes,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,34.29,1782.05,No,2026-09-15T13:18:10.298532
9907-SWKKF,Female,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,33.8175,25.05,Yes,2026-09-15T13:18:10.298532
3932-CMDTD,Female,0,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,142.62750000000003,443.9,Yes,2026-09-15T13:18:10.298532
5277-ZLOOR,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,115.4925,187.45,Yes,2026-09-15T13:18:10.298532
2746-DIJLO,Female,0,No,No,25,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),76.005,2364,No,2026-09-15T13:18:10.298532
9174-FKWZE,Female,1,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.2575,19.45,Yes,2026-09-15T13:18:10.298532
9919-FZDED,Male,1,Yes,No,43,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),113.535,5981.65,No,2026-09-15T13:18:10.298532
9488-FYQAU,Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),147.4875,6841.4,No,2026-09-15T13:18:10.298532
6869-FGJJC,Male,0,No,No,41,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),107.46,5461.45,No,2026-09-15T13:18:10.298532
3349-ANQNH,Female,1,No,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,134.32500000000002,5890,No,2026-09-15T13:18:10.298532
0222-CNVPT,Male,1,No,No,31,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),65.88,2555.05,No,2026-09-15T13:18:10.298532
6900-PXRMS,Male,1,Yes,Yes,16,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,142.76250000000002,2710.25,Yes,2026-09-15T13:18:10.298532
0230-WEQUW,Male,0,Yes,No,40,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),76.41000000000001,3789.2,No,2026-09-15T13:18:10.298532
7629-WFGLW,Female,1,Yes,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Electronic check,129.12750000000003,5471.75,No,2026-09-15T13:18:10.298532
2235-EZAIK,Female,0,Yes,No,43,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),106.92000000000002,5401.9,No,2026-09-15T13:18:10.298532
5119-NZPTV,Male,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,94.635,141.65,No,2026-09-15T13:18:10.298532
4282-MSACW,Male,0,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),158.22000000000003,8035.95,No,2026-09-15T13:18:10.298532
7711-YIJWC,Male,0,Yes,Yes,37,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),114.61500000000001,5264.5,No,2026-09-15T13:18:10.298532
8749-CLJXC,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.067500000000003,20.05,No,2026-09-15T13:18:10.298532
7636-XUHWW,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.865,33.7,No,2026-09-15T13:18:10.298532
0883-EIBTI,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.325000000000003,31.55,Yes,2026-09-15T13:18:10.298532
4098-NAUKP,Male,1,Yes,Yes,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,114.27750000000002,5683.6,No,2026-09-15T13:18:10.298532
0701-TJSEF,Male,0,No,No,5,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.1375,576.95,No,2026-09-15T13:18:10.298532
0689-NKYLF,Male,0,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,112.32000000000001,1060.6,Yes,2026-09-15T13:18:10.298532
9867-NNXLC,Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.067500000000003,470.2,No,2026-09-15T13:18:10.298532
9337-SRRNI,Male,0,No,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),34.155,1673.8,No,2026-09-15T13:18:10.298532
1850-AKQEP,Male,0,No,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.472500000000004,178.7,No,2026-09-15T13:18:10.298532
5600-KTXFM,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,94.4325,143.9,No,2026-09-15T13:18:10.298532
7055-HNEOJ,Male,0,Yes,No,2,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,75.33,154.55,No,2026-09-15T13:18:10.298532
2462-XIIJB,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,124.87500000000001,452.7,Yes,2026-09-15T13:18:10.298532
7277-KAMWT,Male,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),27.0,268.45,No,2026-09-15T13:18:10.298532
7691-KGKGP,Male,0,Yes,Yes,32,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),87.75,3363.8,No,2026-09-15T13:18:10.298532
7808-DVWEP,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),27.0,49.65,No,2026-09-15T13:18:10.298532
2379-GYFLQ,Male,0,No,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),128.115,4422.95,No,2026-09-15T13:18:10.298532
7325-ENZFI,Female,0,No,No,23,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),54.405,1630.4,No,2026-09-15T13:18:10.298532
8800-ZKRFW,Female,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,145.125,3242.5,No,2026-09-15T13:18:10.298532
9133-AYJZG,Female,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),133.245,2249.1,No,2026-09-15T13:18:10.298532
6772-WFQRD,Male,0,No,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),27.54,854.9,No,2026-09-15T13:18:10.298532
9670-BPNXF,Female,0,No,No,27,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),84.4425,2796.45,No,2026-09-15T13:18:10.298532
2675-IJRGJ,Male,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26.5275,978,No,2026-09-15T13:18:10.298532
4829-ZLJTK,Female,1,Yes,No,43,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,151.74,8046.85,No,2026-09-15T13:18:10.298532
9950-MTGYX,Male,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),27.405,487.95,No,2026-09-15T13:18:10.298532
9755-JHNMN,Female,0,No,No,29,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),90.99000000000001,3306.85,No,2026-09-15T13:18:10.298532
3746-EUBYR,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),100.71,74.6,Yes,2026-09-15T13:18:10.298532
7929-DMBCV,Female,0,Yes,No,12,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,109.35000000000001,1683.7,No,2026-09-15T13:18:10.298532
9640-ZSLDC,Female,0,Yes,Yes,32,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),81.81,3297,No,2026-09-15T13:18:10.298532
7197-VOJMM,Male,0,Yes,No,40,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),93.42000000000002,4671.65,No,2026-09-15T13:18:10.298532
2696-NARTR,Male,0,No,No,7,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,99.6975,926.25,Yes,2026-09-15T13:18:10.298532
0689-DSXGL,Female,0,Yes,Yes,31,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),115.83,4433.3,No,2026-09-15T13:18:10.298532
7294-TMAOP,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,122.2425,90.55,Yes,2026-09-15T13:18:10.298532
6177-PEVRA,Female,0,No,No,29,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),74.92500000000001,2627.35,No,2026-09-15T13:18:10.298532
7410-YTJIK,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,101.85750000000002,480.75,Yes,2026-09-15T13:18:10.298532
1410-RSCMR,Male,0,Yes,Yes,4,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),96.3225,515.75,No,2026-09-15T13:18:10.298532
8800-JOOCF,Female,0,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,113.4675,966.55,No,2026-09-15T13:18:10.298532
4526-EXKKN,Male,0,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,33.21,973.95,No,2026-09-15T13:18:10.298532
0813-TAXXS,Male,0,No,No,33,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.03,4323.35,No,2026-09-15T13:18:10.298532
2320-TZRRH,Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,26.325000000000003,403.15,No,2026-09-15T13:18:10.298532
0841-NULXI,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,47.9925,35.55,Yes,2026-09-15T13:18:10.298532
2725-TTRIQ,Female,0,Yes,Yes,43,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),113.67000000000002,5986.55,No,2026-09-15T13:18:10.298532
4778-IZARL,Male,0,Yes,No,38,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),148.635,6705.7,No,2026-09-15T13:18:10.298532
2535-PBCGC,Female,0,Yes,No,42,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),87.1425,4504.9,No,2026-09-15T13:18:10.298532
3629-WEAAM,Female,0,No,No,5,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,86.535,504.05,No,2026-09-15T13:18:10.298532
6128-CZOMY,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,61.627500000000005,45.65,Yes,2026-09-15T13:18:10.298532
9227-UAQFT,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.6625,284.35,No,2026-09-15T13:18:10.298532
0804-XBFBV,Female,0,No,Yes,7,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,34.02,321.05,No,2026-09-15T13:18:10.298532
4503-BDXBD,Male,0,No,No,7,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,101.1825,815.5,Yes,2026-09-15T13:18:10.298532
9626-VFRGG,Female,0,No,Yes,25,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),119.47500000000001,3645.05,No,2026-09-15T13:18:10.298532
4994-OBRSZ,Male,0,No,Yes,8,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),102.735,1054.8,No,2026-09-15T13:18:10.298532
3654-ARMGP,Female,0,No,No,37,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),119.67750000000001,5321.25,No,2026-09-15T13:18:10.298532
0829-XXPLX,Female,0,No,No,12,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),120.69000000000001,1871.15,No,2026-09-15T13:18:10.298532
8938-UMKPI,Female,0,No,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,143.64000000000001,5127.95,Yes,2026-09-15T13:18:10.298532
4854-SSLTN,Male,0,Yes,Yes,1,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,80.325,130.5,No,2026-09-15T13:18:10.298532
9720-JJJOR,Male,0,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),81.405,2511.3,No,2026-09-15T13:18:10.298532
1926-QUZNN,Female,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),34.087500000000006,1841.2,No,2026-09-15T13:18:10.298532
4900-MSOMT,Female,0,Yes,Yes,43,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),108.27000000000001,5714.2,No,2026-09-15T13:18:10.298532
8910-ICHIU,Female,0,No,No,28,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),129.12750000000003,4664.2,No,2026-09-15T13:18:10.298532
4892-VLANZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.730000000000004,19.8,Yes,2026-09-15T13:18:10.298532
0076-LVEPS,Male,0,No,Yes,17,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,60.75000000000001,1242.45,No,2026-09-15T13:18:10.298532
1666-JXLKU,Female,0,No,No,22,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,135.0675,3810.55,No,2026-09-15T13:18:10.298532
4003-FUSHP,Male,0,No,No,11,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),83.0925,1093.2,No,2026-09-15T13:18:10.298532
7696-AMHOD,Female,0,Yes,Yes,29,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),105.30000000000001,3824.2,No,2026-09-15T13:18:10.298532
8082-GHXOP,Male,0,No,Yes,8,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,59.400000000000006,659.35,No,2026-09-15T13:18:10.298532
5445-GLVOT,Female,0,No,No,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,67.23,1049.05,No,2026-09-15T13:18:10.298532
5195-KPUNQ,Female,1,No,No,32,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,130.6125,5206.55,No,2026-09-15T13:18:10.298532
3948-XHGNA,Male,0,No,No,14,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),66.8925,1210.4,Yes,2026-09-15T13:18:10.298532
9624-EGDEQ,Female,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.730000000000004,813.3,No,2026-09-15T13:18:10.298532
7551-DACSP,Male,0,Yes,Yes,4,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.655,324.25,Yes,2026-09-15T13:18:10.298532
8128-YVJRG,Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,107.52750000000002,604.7,Yes,2026-09-15T13:18:10.298532
1038-ZAGBI,Female,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),26.730000000000004,229.6,Yes,2026-09-15T13:18:10.298532
9153-BTBVV,Female,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),33.75,1753,No,2026-09-15T13:18:10.298532
9470-RTWDV,Male,0,Yes,Yes,16,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),110.7,2083.1,No,2026-09-15T13:18:10.298532
7554-AKDQF,Female,0,Yes,No,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,61.627500000000005,323.45,No,2026-09-15T13:18:10.298532
